temperatura,tempo,concentrazione
29.073032374575178,27.73053411165021,43.88240308756949
27.81158638616061,31.154209176154737,44.2950509979255
30.52142467982178,38.837085323344134,46.672865759826124
29.21312386878455,28.309858994358038,44.54402994960845
31.38762679568795,21.468743695276665,43.61679816680685
33.645330597994764,32.306248270476424,49.06613724331002
27.832761197524913,23.319627681578293,41.635688275560064
32.4268290255373,28.47225152640324,44.57308048178354
28.574266542931824,22.72361022460669,41.88113071998257
25.328364967100317,28.8638131851726,41.71098289158175
31.82014270319381,28.32668790355116,44.33680263104233
28.656778519621408,31.7650661208798,43.31987183703245
31.23268825865368,25.236093069766092,44.46481616507531
30.81457808766791,25.061113690281392,42.100285074372316
30.872289255314932,29.613715024482513,42.96543316069839
31.33232398610339,31.78856857165888,46.20587817055303
32.7046242373658,23.0505636510804,43.500930473765116
32.11839302762196,32.638252252640484,46.59899696148251
27.24703679067804,22.912313932878444,39.46001861890669
25.14520324984416,30.350245158401187,42.56466606275173
32.13635989948234,36.682511893623165,46.09351954760591
33.38510043066456,20.610628194194412,44.56210507857772
33.805100276454645,26.295028620444306,44.856710827260336
30.430869136144317,29.62154314148633,42.68672478452663
29.724465924052296,40.35066672882428,46.82526246390786
27.960257787533383,27.13875873742795,41.58014940836731
30.139128909760345,25.701207189691736,41.94645224651897
29.29513979601972,22.07138817068402,41.64444715005757
30.401035854249802,32.51888245610147,46.12846807019309
29.433743862609823,27.6927596067587,42.5976005346375
29.18596306726389,33.93290980041804,44.21144819616322
27.03260083987789,26.842058582977945,40.25034204153343
26.327092429956288,32.198226371337014,43.0121417565725
29.752868545263997,33.709422157157114,45.43539049266863
29.641034594356,27.821355590509953,43.36106927899497
27.02662424959467,25.976492064683796,43.20772317147495
32.03884280386533,29.908137473007667,45.58468341368693
29.98314386285645,31.814633195628847,42.877754685899085
27.341950101753902,25.579148686605173,41.00282971014615
30.271794739830987,30.4970928136923,42.20759811736885
30.96916095457326,26.822783683873855,42.61898214023881
33.18424543166823,32.15970476304939,46.23998520871518
28.40049415099852,28.065944332020962,44.013053602340634
31.482331789110276,22.518226542201162,42.17375738425103
27.9051953400251,36.320450952976785,45.13264246580465
31.777227001611866,31.014957490786177,45.66364430166426
29.236709933891934,24.754862725937578,42.84389719048658
31.022039174073324,28.043414999385366,44.29311780264601
30.575849615753082,34.61349356827975,46.316211608348304
29.95837970396899,34.56091595717291,44.64155609256749
31.462739901691478,26.789153539352224,42.745229290313425
27.70648594514963,36.708985541268376,43.21229165432413
29.877727294224936,30.455052884759766,44.96913644930165
31.858902422390756,26.681326121013875,41.70717358430481
30.342502399463225,34.75552404224585,45.14246535087338
29.15783930081172,13.219103153655817,38.43137381025766
29.938189810998836,30.895738676084953,44.87803819011294
31.732143254161855,26.083925147208074,43.388875748842054
31.747449425895052,19.810863898290478,41.68565661845144
26.265826328880333,27.364758457259466,41.89733959289228
29.20915244881634,29.270459700487667,42.02633507019376
30.56137725388192,35.50588632671737,46.039459549255675
30.566137829574906,31.12398434056678,44.81635351619224
33.34520659960357,24.019773288769684,42.40487841550103
28.85942974760209,29.112681292347077,43.28840939280654
27.87968711433349,34.9538302113401,43.54465103284079
27.71460253396559,33.62024501030964,43.0128487324597
29.091478601336895,37.82797026186594,46.95655689309125
29.99483090316777,32.045824063477575,43.02321093669652
27.10659243017645,33.148662064983945,43.33535639019869
30.50240508099532,19.985982298827018,41.562218837439985
29.74708048680658,28.60940850526491,45.134165888446795
29.987506312161827,28.604664957650396,43.92614372815769
30.0289101603034,22.75466827057201,41.131267036187445
32.65241772268777,39.11467824479739,50.05312451338984
